Record,Time_s,Positive_count,Negative_count
Video1,68.0,250.0,125.0
Video2,126.0,215.0,12.0
Video3,39.0,300.0,156.0
Video4,38.0,312.0,65.0
Video5,65.0,256.0,76.6
Video6,90.0,236.0,69.0
Video7,60.0,236.0,65.0
Video8,62.0,254.0,65.0
Video9,63.0,250.0,63.0
Video10,600.0,250.0,62.0
Video11,60.0,267.0,65.0
Video12,92.0,900.0,68.0
Video13,82.0,301.0,69.0
Video14,72.6,32.0,63.0
Video15,60.0,35.0,63.0
Video16,60.0,32.0,54.2
Video17,62.0,282.8,654.0
Video18,63.0,12.0,12.0
Video19,12.0,352.0,256.0
Video20,32.0,256.0,236.0
Video21,86.0,256.0,65.0
Video22,42.6,254.0,668.0
Video23,93.0,253.0,65.0
Video24,91.0,251.0,68.0
Video25,94.0,251.0,65.0
Video26,100.0,254.8,65.0
Video27,120.0,251.0,66.0
Video28,93.0,236.0,69.0
Video29,48.12,2364.0,697.0
Video30,85.0,254.0,65.0
Video31,90.0,214.0,68.0
Video32,85.0,258.0,69.0
Video33,93.0,259.0,65.4
Video34,90.0,257.0,69.0
Video35,93.0,259.0,65.0
Video36,94.0,257.0,63.0
Video37,85.4,256.0,64.0
Video38,93.0,254.0,67.0
Video39,93.0,254.0,63.0
Video40,93.0,254.0,67.0
